PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
54,1,3,Passenger_54,female,17.9,0,1,TKT-10053,13.32,C53,S
55,0,3,Passenger_55,female,30.7,1,0,TKT-10054,5.79,,S
56,0,3,Passenger_56,male,18.4,0,0,TKT-10055,4.63,,C
57,1,1,Passenger_57,female,33.8,0,0,TKT-10056,146.34,,S
58,1,1,Passenger_58,male,29.3,2,0,TKT-10057,91.92,,S
59,0,1,Passenger_59,male,26.7,0,0,TKT-10058,171.2,,S
60,0,2,Passenger_60,male,17.3,0,0,TKT-10059,25.37,,S
61,0,2,Passenger_61,male,21.9,0,0,TKT-10060,5.66,,C
62,0,2,Passenger_62,male,40.6,0,0,TKT-10061,45.07,,C
63,1,3,Passenger_63,male,37.0,0,1,TKT-10062,5.4,C62,S
64,0,2,Passenger_64,male,,0,0,TKT-10063,37.97,C63,S
65,1,2,Passenger_65,male,31.4,0,1,TKT-10064,11.32,,S
66,0,3,Passenger_66,male,,0,0,TKT-10065,10.81,,S
67,0,1,Passenger_67,male,6.6,0,1,TKT-10066,85.49,,S
68,0,3,Passenger_68,male,37.6,0,0,TKT-10067,16.06,,S
69,0,1,Passenger_69,female,20.7,0,0,TKT-10068,74.38,C68,S
70,1,3,Passenger_70,female,38.0,0,1,TKT-10069,15.69,C69,S
71,1,3,Passenger_71,female,19.3,0,0,TKT-10070,15.02,,S
72,1,1,Passenger_72,female,4.7,0,1,TKT-10071,161.27,C71,S
73,1,1,Passenger_73,female,7.2,0,0,TKT-10072,93.03,,S
74,0,3,Passenger_74,male,30.7,1,0,TKT-10073,11.78,,C
75,1,3,Passenger_75,female,,0,0,TKT-10074,11.0,,S
76,1,3,Passenger_76,female,17.3,2,0,TKT-10075,11.84,C75,S
77,0,3,Passenger_77,male,38.9,2,0,TKT-10076,12.34,C76,Q
78,1,1,Passenger_78,female,6.7,0,0,TKT-10077,36.4,C77,S
79,0,2,Passenger_79,male,29.1,0,0,TKT-10078,45.47,,S
80,1,1,Passenger_80,female,13.0,0,0,TKT-10079,149.9,,S
81,1,3,Passenger_81,female,20.9,1,2,TKT-10080,3.13,C80,S
82,0,3,Passenger_82,male,30.7,0,2,TKT-10081,10.8,,S
83,0,2,Passenger_83,male,,0,0,TKT-10082,55.84,,S
84,0,1,Passenger_84,male,24.6,0,0,TKT-10083,138.35,C83,S
85,1,2,Passenger_85,male,44.1,1,0,TKT-10084,18.71,,Q
86,0,2,Passenger_86,male,21.9,1,0,TKT-10085,31.25,,S
87,0,3,Passenger_87,female,41.7,0,1,TKT-10086,14.74,,S
88,1,3,Passenger_88,female,14.2,0,2,TKT-10087,14.26,,C
89,1,3,Passenger_89,male,37.4,0,0,TKT-10088,19.98,,S
90,0,3,Passenger_90,male,,0,1,TKT-10089,6.2,,Q
91,0,1,Passenger_91,male,1.0,1,0,TKT-10090,82.19,,S
92,0,3,Passenger_92,male,18.8,0,3,TKT-10091,18.5,,C
93,0,3,Passenger_93,male,38.1,0,0,TKT-10092,10.18,,S
94,0,3,Passenger_94,male,27.2,0,0,TKT-10093,6.09,,C
95,1,3,Passenger_95,female,,1,0,TKT-10094,3.23,,Q
96,0,3,Passenger_96,male,21.5,1,0,TKT-10095,11.92,,S
97,0,3,Passenger_97,male,31.2,0,0,TKT-10096,9.47,C96,S
98,0,3,Passenger_98,male,27.8,1,2,TKT-10097,8.5,,S
99,0,1,Passenger_99,male,46.3,0,0,TKT-10098,72.1,,S
100,1,1,Passenger_100,male,33.6,0,0,TKT-10099,193.39,,S
101,1,1,Passenger_101,female,34.7,0,0,TKT-10100,130.77,,S
102,0,3,Passenger_102,male,24.2,0,0,TKT-10101,9.02,C101,S
103,0,2,Passenger_103,male,23.2,0,0,TKT-10102,23.57,,S
104,0,3,Passenger_104,male,23.9,2,0,TKT-10103,14.99,C103,S
105,0,3,Passenger_105,female,,0,0,TKT-10104,3.26,,S
106,0,2,Passenger_106,male,24.1,0,0,TKT-10105,29.71,,S
107,0,2,Passenger_107,male,34.1,0,0,TKT-10106,56.72,,S
108,0,3,Passenger_108,female,59.1,0,0,TKT-10107,6.9,,S
109,0,2,Passenger_109,male,42.2,2,1,TKT-10108,36.4,,S
110,1,1,Passenger_110,female,25.4,0,0,TKT-10109,78.69,,S
111,1,2,Passenger_111,female,46.8,0,0,TKT-10110,89.57,,S
112,0,1,Passenger_112,male,,1,0,TKT-10111,49.71,,S
113,0,3,Passenger_113,male,1.5,0,0,TKT-10112,5.56,,C
114,0,3,Passenger_114,male,,0,0,TKT-10113,14.06,,S
115,0,3,Passenger_115,male,3.8,0,0,TKT-10114,8.75,C114,S
116,0,3,Passenger_116,male,25.1,0,0,TKT-10115,10.66,,S
117,1,3,Passenger_117,female,30.3,3,0,TKT-10116,4.41,,C
118,1,1,Passenger_118,female,,1,0,TKT-10117,81.78,,Q
119,0,3,Passenger_119,male,34.6,0,1,TKT-10118,7.88,C118,S
120,0,3,Passenger_120,male,26.9,1,2,TKT-10119,12.5,,S
121,0,3,Passenger_121,male,41.6,0,0,TKT-10120,31.1,,Q
122,0,3,Passenger_122,male,1.0,0,0,TKT-10121,9.13,C121,S
123,1,2,Passenger_123,female,33.3,0,1,TKT-10122,17.35,,S
124,0,1,Passenger_124,male,40.8,0,2,TKT-10123,97.44,,S
125,1,2,Passenger_125,female,,0,0,TKT-10124,59.35,,S
126,0,3,Passenger_126,male,46.0,0,0,TKT-10125,21.83,,Q
127,0,3,Passenger_127,male,34.7,2,0,TKT-10126,2.53,,
128,0,3,Passenger_128,male,24.2,0,0,TKT-10127,18.69,C127,C
129,1,1,Passenger_129,female,38.9,0,0,TKT-10128,72.95,,S
130,0,3,Passenger_130,female,,0,0,TKT-10129,17.62,,C
131,1,2,Passenger_131,female,32.5,0,0,TKT-10130,25.54,,S
132,0,2,Passenger_132,male,,0,0,TKT-10131,44.81,,S
133,0,1,Passenger_133,male,23.6,0,1,TKT-10132,162.51,,Q
134,1,2,Passenger_134,female,,1,0,TKT-10133,16.52,,S
135,1,3,Passenger_135,female,41.6,0,0,TKT-10134,29.49,C134,S
136,1,2,Passenger_136,male,18.0,0,0,TKT-10135,37.93,,S
137,0,3,Passenger_137,female,31.0,0,0,TKT-10136,5.81,,C
138,0,3,Passenger_138,male,,0,2,TKT-10137,4.12,,S
139,0,2,Passenger_139,male,,0,0,TKT-10138,49.83,,S
140,1,3,Passenger_140,female,34.7,1,0,TKT-10139,17.89,C139,S
141,1,3,Passenger_141,female,44.5,0,0,TKT-10140,3.72,,C
142,0,2,Passenger_142,male,22.9,0,0,TKT-10141,49.77,,C
143,0,3,Passenger_143,male,26.2,0,1,TKT-10142,17.57,,S
144,0,2,Passenger_144,male,,0,0,TKT-10143,21.87,,S
145,1,2,Passenger_145,male,23.8,0,0,TKT-10144,27.97,,S
146,1,1,Passenger_146,male,35.3,1,0,TKT-10145,95.42,C145,
147,0,3,Passenger_147,male,40.6,0,0,TKT-10146,5.09,,S
148,0,3,Passenger_148,male,17.1,1,1,TKT-10147,2.76,C147,Q
149,0,1,Passenger_149,male,42.2,0,1,TKT-10148,51.12,,S
150,1,2,Passenger_150,female,,1,0,TKT-10149,17.21,C149,C
151,0,3,Passenger_151,male,35.8,0,0,TKT-10150,7.79,C0,C
152,1,2,Passenger_152,male,56.3,0,1,TKT-10151,35.33,,S
153,0,1,Passenger_153,male,19.2,0,2,TKT-10152,51.3,,Q
154,0,3,Passenger_154,male,12.6,2,0,TKT-10153,5.02,,S
155,1,3,Passenger_155,female,5.1,0,0,TKT-10154,5.03,,S
156,1,2,Passenger_156,male,50.9,0,0,TKT-10155,15.97,,S
157,1,3,Passenger_157,female,39.2,0,1,TKT-10156,4.78,,C
158,0,3,Passenger_158,male,29.2,1,0,TKT-10157,2.9,,S
159,0,2,Passenger_159,female,33.9,0,0,TKT-10158,64.12,C8,S
160,0,3,Passenger_160,female,14.2,1,0,TKT-10159,7.91,,S
161,1,2,Passenger_161,female,64.2,0,0,TKT-10160,26.82,,S
162,0,3,Passenger_162,male,31.8,0,0,TKT-10161,7.22,,S
163,0,3,Passenger_163,male,31.5,0,0,TKT-10162,22.92,,S
164,0,3,Passenger_164,male,,2,0,TKT-10163,11.23,C13,C
165,0,1,Passenger_165,male,36.7,0,0,TKT-10164,44.32,C14,S
166,0,3,Passenger_166,male,,2,0,TKT-10165,13.64,,S
167,1,2,Passenger_167,female,18.9,0,0,TKT-10166,37.7,,S
168,1,1,Passenger_168,male,36.6,0,0,TKT-10167,142.46,C17,S
169,1,1,Passenger_169,female,,0,1,TKT-10168,55.52,,C
170,0,3,Passenger_170,male,48.8,0,1,TKT-10169,8.35,,Q
171,1,3,Passenger_171,female,52.3,1,0,TKT-10170,12.39,,S
172,0,1,Passenger_172,male,22.8,2,0,TKT-10171,101.14,,C
173,0,3,Passenger_173,female,16.1,1,0,TKT-10172,9.51,C22,Q
174,0,2,Passenger_174,male,,1,0,TKT-10173,30.5,,C
175,0,3,Passenger_175,male,30.8,0,0,TKT-10174,27.21,,S
176,1,1,Passenger_176,male,45.3,0,0,TKT-10175,41.2,,Q
177,1,3,Passenger_177,female,6.3,2,0,TKT-10176,13.66,,S
178,0,2,Passenger_178,male,51.4,0,0,TKT-10177,30.01,,S
179,1,3,Passenger_179,male,27.8,1,0,TKT-10178,4.97,,S
180,1,1,Passenger_180,male,24.0,1,0,TKT-10179,164.56,C29,S
181,0,2,Passenger_181,male,,0,0,TKT-10180,13.4,,S
182,0,1,Passenger_182,male,6.8,3,0,TKT-10181,50.4,,S
183,0,3,Passenger_183,male,41.5,0,0,TKT-10182,15.66,C32,S
184,0,3,Passenger_184,male,31.0,0,1,TKT-10183,15.89,,C
185,0,2,Passenger_185,male,11.9,0,1,TKT-10184,28.08,C34,C
186,0,3,Passenger_186,male,11.9,0,0,TKT-10185,3.51,,S
187,1,3,Passenger_187,female,25.3,0,0,TKT-10186,8.5,,C
188,0,3,Passenger_188,female,53.4,0,0,TKT-10187,14.28,,C
189,0,3,Passenger_189,male,,1,0,TKT-10188,11.0,,C
190,0,2,Passenger_190,male,,2,0,TKT-10189,8.96,,S
191,1,1,Passenger_191,male,,0,1,TKT-10190,107.63,,S
192,0,3,Passenger_192,male,26.2,0,0,TKT-10191,1.88,,Q
193,1,3,Passenger_193,female,1.0,2,1,TKT-10192,19.56,,S
194,1,3,Passenger_194,female,29.2,0,0,TKT-10193,7.83,C43,S
195,0,2,Passenger_195,male,26.8,0,0,TKT-10194,29.66,,S
196,0,2,Passenger_196,female,39.7,0,0,TKT-10195,19.76,C45,S
197,0,3,Passenger_197,male,55.9,0,0,TKT-10196,15.23,,S
198,1,3,Passenger_198,female,45.8,0,0,TKT-10197,20.7,,S
199,0,3,Passenger_199,male,26.2,2,0,TKT-10198,12.47,C48,S
200,0,3,Passenger_200,male,14.5,0,0,TKT-10199,8.43,,C
201,0,3,Passenger_201,male,66.0,0,3,TKT-10200,11.63,,C
202,0,1,Passenger_202,male,30.8,0,0,TKT-10201,72.54,,S
203,1,1,Passenger_203,female,30.2,0,2,TKT-10202,114.65,C52,Q
204,0,3,Passenger_204,male,29.7,0,2,TKT-10203,7.06,,S
205,0,3,Passenger_205,male,32.8,1,1,TKT-10204,24.15,,S
206,0,1,Passenger_206,female,,1,0,TKT-10205,42.14,,C
207,0,1,Passenger_207,male,22.0,0,0,TKT-10206,30.92,C56,C
208,0,3,Passenger_208,male,22.3,2,1,TKT-10207,9.68,,Q
209,0,1,Passenger_209,male,29.5,1,0,TKT-10208,100.03,C58,S
210,1,1,Passenger_210,male,22.4,1,0,TKT-10209,223.01,,C
211,0,3,Passenger_211,male,20.0,0,0,TKT-10210,23.2,,S
212,0,3,Passenger_212,male,31.5,0,0,TKT-10211,8.19,,C
213,0,3,Passenger_213,male,26.4,0,0,TKT-10212,12.46,,C
214,0,2,Passenger_214,male,51.1,0,0,TKT-10213,15.07,,S
215,0,3,Passenger_215,female,1.0,0,0,TKT-10214,10.35,,S
216,1,2,Passenger_216,female,45.3,0,1,TKT-10215,27.41,,C
217,1,2,Passenger_217,male,47.4,1,0,TKT-10216,8.92,,S
218,0,3,Passenger_218,male,1.0,1,2,TKT-10217,2.58,,S
219,0,3,Passenger_219,male,25.2,2,0,TKT-10218,5.67,,C
220,1,3,Passenger_220,female,24.8,0,1,TKT-10219,10.13,,S
221,0,3,Passenger_221,male,10.3,1,0,TKT-10220,3.72,,C
222,0,3,Passenger_222,male,19.1,0,1,TKT-10221,12.08,,S
223,1,1,Passenger_223,male,14.5,0,0,TKT-10222,62.46,,S
224,0,2,Passenger_224,male,54.5,0,1,TKT-10223,56.25,C73,C
225,0,2,Passenger_225,male,,0,0,TKT-10224,25.67,,S
226,0,2,Passenger_226,male,47.8,0,1,TKT-10225,27.32,,S
227,0,3,Passenger_227,male,40.1,1,3,TKT-10226,17.06,C76,C
228,1,2,Passenger_228,female,14.2,0,0,TKT-10227,54.19,C77,S
229,1,3,Passenger_229,female,22.7,1,0,TKT-10228,4.79,,S
230,0,3,Passenger_230,male,,0,1,TKT-10229,4.89,,S
231,0,3,Passenger_231,male,12.9,0,0,TKT-10230,5.73,,C
232,0,3,Passenger_232,male,,0,1,TKT-10231,14.69,C81,C
233,0,3,Passenger_233,male,26.6,0,0,TKT-10232,13.05,,C
234,0,3,Passenger_234,male,24.8,0,0,TKT-10233,19.07,C83,S
235,0,1,Passenger_235,male,40.0,0,2,TKT-10234,72.78,,C
236,0,3,Passenger_236,male,,0,0,TKT-10235,3.47,C85,S
237,1,2,Passenger_237,male,,0,1,TKT-10236,18.64,C86,S
238,1,1,Passenger_238,female,46.2,0,0,TKT-10237,126.6,C87,S
239,0,3,Passenger_239,male,14.9,2,0,TKT-10238,8.63,,C
240,1,1,Passenger_240,female,38.6,0,0,TKT-10239,41.27,C89,C
241,0,3,Passenger_241,male,38.3,1,0,TKT-10240,9.57,,S
242,0,3,Passenger_242,male,25.7,0,0,TKT-10241,9.83,,S
243,0,3,Passenger_243,female,34.6,2,0,TKT-10242,17.02,,Q
244,0,2,Passenger_244,male,12.5,1,0,TKT-10243,28.0,,S
245,0,1,Passenger_245,male,42.9,0,0,TKT-10244,18.16,,Q
246,1,3,Passenger_246,female,27.4,0,1,TKT-10245,7.71,C95,S
247,1,3,Passenger_247,female,22.7,1,0,TKT-10246,12.48,,S
248,0,3,Passenger_248,male,,0,0,TKT-10247,6.32,C97,S
249,0,3,Passenger_249,male,20.1,0,0,TKT-10248,6.76,C98,S
250,0,3,Passenger_250,male,10.3,0,0,TKT-10249,10.23,,Q
251,0,2,Passenger_251,male,8.2,1,0,TKT-10250,36.74,,S
252,0,2,Passenger_252,male,38.5,1,0,TKT-10251,14.58,,C
253,0,3,Passenger_253,male,,0,0,TKT-10252,12.31,,S
254,0,2,Passenger_254,male,54.6,0,0,TKT-10253,40.23,,S
255,1,1,Passenger_255,male,1.0,0,0,TKT-10254,35.58,C104,S
256,1,3,Passenger_256,male,53.8,0,1,TKT-10255,14.14,C105,S
257,1,3,Passenger_257,female,33.0,3,0,TKT-10256,4.45,C106,
258,1,3,Passenger_258,female,28.6,0,0,TKT-10257,6.42,C107,S
259,0,3,Passenger_259,male,22.4,0,0,TKT-10258,10.92,,S
260,0,1,Passenger_260,male,,0,0,TKT-10259,198.91,,S
261,0,3,Passenger_261,male,29.5,1,2,TKT-10260,34.76,C110,S
262,1,3,Passenger_262,female,45.4,0,0,TKT-10261,12.78,,S
263,1,1,Passenger_263,female,,0,0,TKT-10262,160.52,,C
264,0,3,Passenger_264,female,32.1,0,0,TKT-10263,4.09,,S
265,0,3,Passenger_265,female,24.9,0,0,TKT-10264,15.86,C114,S
266,0,3,Passenger_266,male,29.2,0,0,TKT-10265,29.69,C115,S
267,0,3,Passenger_267,male,,0,0,TKT-10266,6.4,C116,
268,0,3,Passenger_268,male,6.1,0,0,TKT-10267,7.46,C117,S
269,0,2,Passenger_269,male,11.1,2,0,TKT-10268,23.73,,S
270,0,2,Passenger_270,female,40.4,1,0,TKT-10269,39.92,,S
271,1,3,Passenger_271,male,32.4,3,0,TKT-10270,2.4,,S
272,0,3,Passenger_272,male,27.4,0,0,TKT-10271,7.76,,S
273,0,3,Passenger_273,male,,2,0,TKT-10272,23.15,,S
274,0,3,Passenger_274,male,34.9,0,2,TKT-10273,8.95,,C
275,0,3,Passenger_275,male,22.4,0,0,TKT-10274,8.94,C124,S
276,0,3,Passenger_276,male,19.1,0,1,TKT-10275,16.71,,C
277,1,3,Passenger_277,female,32.7,0,0,TKT-10276,13.05,,S
278,0,3,Passenger_278,male,,1,0,TKT-10277,8.65,C127,S
279,1,3,Passenger_279,male,35.7,0,0,TKT-10278,7.15,C128,S
280,0,3,Passenger_280,female,6.2,0,0,TKT-10279,43.85,,S
281,0,3,Passenger_281,male,44.4,0,0,TKT-10280,21.04,,C
282,0,2,Passenger_282,male,36.6,0,0,TKT-10281,26.41,,S
283,0,2,Passenger_283,male,,0,0,TKT-10282,27.08,,S
284,1,1,Passenger_284,female,43.8,0,1,TKT-10283,55.41,,S
285,0,3,Passenger_285,male,53.3,1,0,TKT-10284,12.95,C134,
286,1,1,Passenger_286,female,44.2,1,0,TKT-10285,28.39,,S
287,1,3,Passenger_287,female,4.2,0,0,TKT-10286,6.02,C136,Q
288,1,3,Passenger_288,female,12.1,0,0,TKT-10287,13.25,C137,S
289,1,2,Passenger_289,female,21.3,0,0,TKT-10288,20.74,,S
290,1,3,Passenger_290,female,,1,0,TKT-10289,13.65,,S
291,1,1,Passenger_291,female,,0,1,TKT-10290,77.67,,S
292,1,1,Passenger_292,male,19.8,0,1,TKT-10291,95.47,,S
293,1,3,Passenger_293,female,,0,0,TKT-10292,5.69,,S
294,0,2,Passenger_294,female,19.4,0,0,TKT-10293,37.97,C143,Q
295,0,1,Passenger_295,male,21.4,0,2,TKT-10294,91.24,C144,C
296,0,3,Passenger_296,male,10.3,1,0,TKT-10295,18.39,C145,C
297,0,3,Passenger_297,male,17.1,0,0,TKT-10296,17.86,,S
298,1,1,Passenger_298,female,11.1,0,0,TKT-10297,61.13,,S
299,0,3,Passenger_299,female,16.3,1,0,TKT-10298,4.38,,S
300,1,1,Passenger_300,female,44.8,1,0,TKT-10299,84.83,,C
