age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
55;technician;single;secondary;no;2666;no;no;cellular;1;may;192;2;-1;1;unknown;no
41;management;married;primary;no;499;no;no;unknown;10;mar;454;2;-1;0;unknown;no
47;blue-collar;married;primary;no;527;no;no;cellular;30;nov;280;1;-1;0;unknown;no
18;self-employed;single;tertiary;no;1754;yes;no;cellular;18;feb;93;1;-1;0;unknown;no
39;services;single;secondary;no;1240;yes;no;telephone;12;may;185;1;-1;1;unknown;no
31;entrepreneur;married;secondary;no;571;no;no;cellular;6;aug;33;2;-1;0;unknown;no
27;technician;divorced;secondary;no;8;no;no;unknown;15;may;163;3;-1;1;unknown;no
31;admin.;single;tertiary;no;7072;no;no;cellular;30;jul;366;1;-1;0;unknown;no
36;admin.;single;secondary;no;-374;no;no;cellular;12;may;756;6;-1;0;unknown;no
50;blue-collar;married;tertiary;no;1412;yes;no;cellular;15;jun;268;1;-1;0;unknown;no
26;blue-collar;married;secondary;no;108;yes;no;cellular;12;aug;1249;3;-1;0;unknown;yes
40;technician;married;secondary;no;828;yes;no;cellular;27;nov;613;2;-1;0;unknown;no
35;management;single;secondary;no;2865;no;no;unknown;22;may;137;2;-1;1;unknown;no
37;blue-collar;married;secondary;no;-97;no;yes;cellular;20;dec;284;1;660;0;other;no
51;management;single;tertiary;no;1102;no;no;cellular;21;jul;421;3;-1;0;unknown;no
46;management;married;unknown;no;530;yes;no;unknown;13;jan;198;1;-1;0;unknown;no
54;blue-collar;single;primary;no;-323;yes;yes;cellular;26;jun;363;1;-1;0;unknown;no
38;blue-collar;single;tertiary;no;2959;yes;yes;cellular;20;may;171;2;689;0;success;no
33;self-employed;single;secondary;no;1333;yes;no;cellular;3;nov;277;5;-1;1;unknown;no
38;blue-collar;single;primary;no;-190;no;no;cellular;12;aug;692;1;-1;0;unknown;no
43;student;divorced;primary;yes;2406;no;no;cellular;28;may;184;1;-1;2;unknown;no
42;blue-collar;married;primary;no;-422;yes;no;cellular;8;may;67;1;-1;0;unknown;no
29;services;single;secondary;no;165;no;no;unknown;30;jan;1014;3;-1;0;unknown;yes
41;technician;divorced;secondary;no;-186;yes;no;unknown;26;dec;529;6;-1;1;unknown;no
42;blue-collar;married;tertiary;no;1425;no;yes;cellular;31;aug;406;4;214;0;success;yes
66;admin.;married;secondary;no;-221;no;no;unknown;25;may;819;2;-1;1;unknown;yes
60;technician;divorced;secondary;no;1441;yes;no;cellular;4;jul;553;3;-1;0;unknown;yes
31;management;married;secondary;no;1087;no;yes;cellular;6;may;196;1;-1;1;unknown;no
37;retired;married;tertiary;no;-146;yes;no;cellular;16;aug;1005;2;738;1;failure;no
25;admin.;married;secondary;no;5934;no;no;cellular;12;jul;364;1;-1;0;unknown;no
34;blue-collar;married;tertiary;no;-380;yes;no;cellular;30;jul;492;1;-1;0;unknown;no
43;management;married;tertiary;no;-632;yes;no;cellular;27;nov;46;1;-1;3;unknown;no
53;technician;married;secondary;no;1681;no;no;cellular;24;jan;109;1;-1;1;unknown;no
32;blue-collar;divorced;secondary;no;-772;yes;no;cellular;30;may;87;6;77;0;other;no
33;student;married;primary;no;3975;yes;no;cellular;2;jul;81;1;-1;0;unknown;no
18;self-employed;married;secondary;no;314;no;no;cellular;22;aug;433;1;-1;0;unknown;no
38;admin.;divorced;secondary;no;-637;yes;no;cellular;27;may;133;2;-1;2;unknown;no
29;blue-collar;single;secondary;no;-475;no;no;cellular;31;jul;351;1;-1;0;unknown;no
34;blue-collar;married;secondary;no;-686;no;no;cellular;26;may;542;3;-1;0;unknown;yes
31;management;married;tertiary;no;708;yes;no;cellular;26;may;160;1;781;0;failure;no
39;retired;single;secondary;no;-609;no;no;cellular;25;nov;130;1;-1;2;unknown;no
22;management;single;primary;no;912;yes;no;cellular;4;jul;49;1;-1;0;unknown;no
25;blue-collar;married;secondary;no;-92;yes;no;cellular;13;jun;659;1;-1;0;unknown;no
62;services;married;unknown;no;-218;yes;no;unknown;28;may;166;1;-1;0;unknown;no
26;management;single;tertiary;no;925;no;no;cellular;20;jun;851;2;-1;0;unknown;yes
28;management;single;secondary;no;1146;yes;no;cellular;9;jun;400;2;-1;0;unknown;no
59;management;married;tertiary;no;2549;yes;yes;cellular;23;nov;733;1;-1;0;unknown;no
71;blue-collar;single;secondary;no;-318;yes;no;unknown;1;may;74;1;-1;0;unknown;no
28;self-employed;single;primary;yes;164;no;no;unknown;13;aug;476;2;-1;0;unknown;no
36;housemaid;single;tertiary;no;-319;yes;no;cellular;24;apr;487;1;-1;0;unknown;no
44;entrepreneur;single;secondary;no;391;yes;no;telephone;25;may;632;2;-1;0;unknown;no
58;blue-collar;single;secondary;no;-396;yes;no;cellular;16;may;137;1;-1;0;unknown;no
30;retired;married;unknown;no;-182;yes;no;telephone;9;jul;174;1;-1;1;unknown;no
37;retired;married;tertiary;no;-179;no;yes;cellular;16;jan;645;1;-1;1;unknown;no
48;entrepreneur;single;secondary;no;571;yes;no;cellular;6;may;58;2;-1;1;unknown;no
45;technician;single;secondary;no;200;yes;no;cellular;30;may;121;3;-1;1;unknown;no
36;technician;married;secondary;no;919;yes;no;cellular;27;dec;467;2;-1;1;unknown;no
39;admin.;married;tertiary;no;85;no;yes;unknown;23;jul;195;3;-1;2;unknown;no
26;services;single;tertiary;no;-286;no;no;cellular;11;may;225;1;-1;0;unknown;no
37;housemaid;single;primary;no;428;yes;no;cellular;5;aug;17;1;-1;0;unknown;no
37;unknown;married;tertiary;no;-462;no;no;cellular;2;may;805;2;672;0;failure;yes
42;blue-collar;married;tertiary;no;1038;no;no;telephone;12;jul;209;1;-1;0;unknown;no
34;blue-collar;married;secondary;no;-76;yes;no;telephone;26;may;445;1;-1;0;unknown;no
45;management;divorced;tertiary;no;445;yes;no;cellular;12;aug;658;2;-1;1;unknown;no
51;blue-collar;single;secondary;no;467;yes;yes;cellular;25;jun;220;1;-1;0;unknown;no
42;services;married;primary;no;4540;no;no;cellular;6;may;449;3;-1;0;unknown;no
44;management;married;secondary;no;706;yes;yes;cellular;25;aug;820;2;769;0;other;yes
41;blue-collar;single;tertiary;no;280;yes;no;telephone;3;feb;517;2;-1;2;unknown;yes
40;management;married;primary;no;-351;yes;no;unknown;11;jul;386;1;-1;0;unknown;no
32;technician;divorced;tertiary;no;1546;yes;no;unknown;5;jan;514;3;-1;0;unknown;no
43;student;married;secondary;no;-63;no;no;cellular;19;jan;568;5;-1;0;unknown;no
39;management;married;tertiary;no;-661;yes;no;unknown;6;may;266;4;-1;0;unknown;no
62;blue-collar;married;secondary;no;2;yes;no;telephone;1;aug;834;6;-1;0;unknown;no
57;blue-collar;married;secondary;no;428;no;no;telephone;10;nov;331;1;588;0;other;yes
44;technician;single;tertiary;no;-416;no;no;cellular;1;jun;595;1;-1;0;unknown;no
32;services;single;tertiary;no;74;no;no;cellular;12;nov;113;3;-1;0;unknown;no
28;management;married;secondary;no;121;no;no;telephone;9;may;277;1;-1;2;unknown;no
53;technician;married;primary;no;137;yes;no;cellular;29;apr;144;1;793;0;failure;no
43;blue-collar;single;secondary;no;2869;yes;no;cellular;17;may;411;9;-1;0;unknown;no
45;self-employed;single;primary;no;-605;no;no;cellular;14;jun;103;1;-1;0;unknown;no
22;blue-collar;married;tertiary;no;7482;no;no;cellular;19;apr;517;3;-1;1;unknown;no
50;blue-collar;married;primary;no;161;yes;no;unknown;5;jul;438;4;-1;1;unknown;yes
45;management;married;primary;no;1059;yes;no;telephone;5;aug;247;1;-1;0;unknown;no
28;housemaid;married;unknown;no;346;no;no;telephone;5;jun;552;1;-1;2;unknown;no
35;technician;single;tertiary;no;-705;yes;no;cellular;27;feb;113;1;-1;2;unknown;no
43;blue-collar;married;secondary;no;-519;no;yes;telephone;24;jul;515;3;-1;2;unknown;yes
41;technician;married;secondary;no;-251;no;no;cellular;30;aug;126;1;-1;0;unknown;yes
37;services;single;tertiary;no;2062;yes;no;cellular;26;may;166;1;-1;1;unknown;no
39;self-employed;married;secondary;no;-625;no;no;cellular;4;may;660;3;-1;1;unknown;no
37;technician;married;primary;no;-434;no;yes;unknown;6;may;669;1;50;0;other;no
42;management;married;secondary;no;393;yes;no;telephone;26;aug;409;4;-1;0;unknown;no
55;housemaid;divorced;primary;no;860;yes;yes;unknown;17;aug;1230;2;-1;3;unknown;no
18;blue-collar;single;secondary;no;807;no;no;telephone;20;may;889;1;-1;1;unknown;no
38;blue-collar;married;primary;no;-490;yes;no;cellular;8;may;245;1;556;0;other;no
42;technician;single;primary;no;-678;no;no;unknown;16;may;123;1;-1;0;unknown;no
43;management;married;secondary;no;980;yes;no;cellular;28;apr;517;1;-1;0;unknown;no
36;entrepreneur;married;tertiary;no;3697;no;no;unknown;16;may;342;3;-1;1;unknown;no
22;blue-collar;married;secondary;no;-124;no;yes;unknown;22;aug;452;3;-1;2;unknown;no
43;management;married;tertiary;no;-551;yes;yes;cellular;24;nov;482;4;-1;0;unknown;no
58;services;married;tertiary;no;-187;no;yes;cellular;29;apr;151;3;-1;2;unknown;no
24;blue-collar;divorced;secondary;no;726;yes;no;cellular;7;jun;115;2;-1;1;unknown;no
49;services;married;secondary;no;-31;yes;no;telephone;29;may;458;1;-1;1;unknown;no
37;retired;single;secondary;no;3579;yes;no;cellular;19;may;448;1;-1;2;unknown;no
39;student;single;secondary;no;1865;yes;no;cellular;26;may;82;1;-1;0;unknown;no
29;blue-collar;married;tertiary;no;419;yes;no;telephone;9;nov;166;1;-1;1;unknown;no
36;retired;married;secondary;no;-745;yes;no;cellular;4;may;115;4;516;1;other;no
54;blue-collar;married;primary;no;-351;yes;no;cellular;3;jul;309;2;-1;0;unknown;no
