ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),City,State,Road_Condition,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Junction,Railway,Roundabout,Station,Stop,Traffic_Signal,Sunrise_Sunset
A-52,3,2022-05-10 13:45:00,2022-05-10 14:03:49.027492,37.922764,-78.35592,0.18,Richmond,VA,Urban Road,66.8,83.0,8.0,9.1,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,Day
A-53,2,2018-03-07 08:03:00,2018-03-07 08:20:33.136919,40.552788,-91.619083,0.47,Springfield,IL,Urban Road,32.1,47.0,10.1,13.2,0.0,Fair,False,False,True,False,False,False,False,False,False,Day
A-54,2,2016-04-27 08:13:00,2016-04-27 08:36:38.000329,32.081564,-84.053517,0.34,Savannah,GA,Highway,62.9,100.0,9.6,17.6,0.0,Fair,False,False,False,False,False,False,False,False,True,Day
A-55,2,2017-05-16 09:36:00,2017-05-16 10:35:47.616668,25.934439,-81.029745,0.42,Jacksonville,FL,Interstate,97.9,75.0,9.3,1.5,0.0,Cloudy,False,False,False,False,False,False,False,False,False,Day
A-56,3,2017-11-05 20:18:00,2017-11-05 20:59:47.592243,40.66657,-88.672306,0.87,Rockford,IL,Urban Road,56.8,28.0,4.9,6.3,0.0,Fair,False,False,False,True,False,False,False,False,False,Night
A-57,2,2018-12-16 06:48:00,2018-12-16 08:13:49.026630,46.854665,-119.736512,0.1,Spokane,WA,Urban Road,57.8,83.0,11.2,19.1,0.0,Cloudy,True,False,False,False,False,False,False,False,False,Day
A-58,3,2018-05-23 13:15:00,2018-05-23 14:11:31.280552,38.232771,-118.553947,0.65,Sacramento,CA,Highway,56.3,81.0,6.7,8.8,0.01,Rain,False,False,True,False,False,False,False,False,False,Day
A-59,4,2017-10-31 13:03:00,2017-10-31 13:46:42.665700,30.428729,-100.455129,0.02,Houston,TX,Highway,84.0,22.0,7.1,13.1,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,True,Day
A-60,3,2020-10-19 06:34:00,2020-10-19 07:22:02.260187,30.645923,-101.052192,0.05,San Antonio,TX,Highway,65.1,42.0,9.8,6.0,0.0,Fair,False,False,True,False,False,False,False,False,False,Day
A-61,3,2022-05-06 18:13:00,2022-05-06 19:32:59.545822,39.212349,-86.942164,0.23,Chicago,IL,Rural Road,73.9,27.0,12.2,14.3,0.02,Rain,False,False,True,False,False,False,False,False,False,Day
A-62,2,2022-08-10 08:53:00,2022-08-10 10:11:33.829949,42.912965,-74.030314,0.12,Buffalo,NY,Urban Road,75.8,56.0,6.7,8.3,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-63,2,2016-06-23 16:07:00,2016-06-23 16:52:16.063700,34.590909,-77.829225,0.15,Raleigh,NC,Highway,46.8,95.0,6.8,7.8,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-64,3,2017-11-29 09:14:00,2017-11-29 09:43:21.849259,28.350799,-80.479138,0.06,Tampa,FL,Interstate,91.9,85.0,10.2,8.2,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-65,2,2017-03-01 13:09:00,2017-03-01 13:16:03.490737,26.936727,-79.300383,0.25,Tampa,FL,Urban Road,21.0,65.0,7.4,11.1,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,Day
A-66,3,2020-08-27 09:29:00,2020-08-27 10:15:02.440427,26.960125,-82.212855,0.17,Miami,FL,Urban Road,75.7,44.0,11.1,1.0,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-67,2,2020-08-12 09:00:00,2020-08-12 10:30:43.146760,39.283088,-87.191095,0.12,Springfield,IL,Urban Road,68.6,60.0,7.1,11.4,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,Day
A-68,2,2017-10-11 16:32:00,2017-10-11 17:40:23.892132,36.832111,-120.725166,0.66,San Diego,CA,Highway,82.1,78.0,9.5,5.9,0.0,Fog,False,False,False,False,False,False,False,False,False,Day
A-69,3,2017-10-31 22:34:00,2017-10-31 22:43:47.867452,37.895929,-77.636547,0.57,Richmond,VA,Highway,50.5,70.0,8.8,2.1,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,Night
A-70,2,2019-01-03 17:27:00,2019-01-03 18:03:09.948523,39.352405,-78.812179,0.25,Virginia Beach,VA,Urban Road,28.2,72.0,8.6,8.2,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,Day
A-71,2,2022-06-13 17:14:00,2022-06-13 17:50:44.379195,32.095306,-82.008215,0.04,Savannah,GA,Urban Road,28.2,40.0,6.6,14.3,0.0,Cloudy,False,False,False,False,False,False,False,False,False,Day
A-72,2,2018-01-16 13:52:00,2018-01-16 14:41:58.136385,34.275692,-112.016589,0.08,Phoenix,AZ,Highway,40.0,36.0,9.8,14.5,0.0,Mostly Cloudy,False,False,False,False,False,False,False,True,False,Day
A-73,3,2016-06-09 23:17:00,2016-06-09 23:47:38.455619,35.80389,-80.125454,0.53,Raleigh,NC,Urban Road,48.0,36.0,6.7,9.2,0.0,Mostly Cloudy,False,False,False,True,True,False,False,True,False,Night
A-74,2,2021-06-28 20:31:00,2021-06-28 20:49:00.327344,26.957024,-81.30267,0.56,Jacksonville,FL,Interstate,28.9,65.0,6.8,1.1,0.0,Cloudy,False,False,False,False,False,False,False,False,False,Night
A-75,2,2019-01-19 21:29:00,2019-01-19 22:14:59.295908,28.333584,-80.674731,0.07,Tampa,FL,Urban Road,63.3,86.0,13.7,8.7,0.0,Fair,False,False,False,False,False,False,False,False,False,Night
A-76,2,2021-05-06 15:54:00,2021-05-06 16:08:43.638927,27.326732,-80.57585,0.43,Orlando,FL,Urban Road,58.7,70.0,5.2,9.4,0.0,Fair,False,False,False,False,False,False,False,False,True,Day
A-77,2,2021-10-15 11:04:00,2021-10-15 11:57:12.466963,41.299271,-89.617183,0.4,Springfield,IL,Highway,69.7,15.0,11.2,14.2,0.03,Heavy Rain,False,False,False,False,False,False,False,False,False,Day
A-78,2,2020-02-24 05:33:00,2020-02-24 06:06:37.239633,48.988143,-120.057286,0.77,Seattle,WA,Interstate,55.7,42.0,10.4,6.0,0.0,Fair,False,False,False,False,False,False,False,True,True,Night
A-79,2,2019-02-10 17:05:00,2019-02-10 18:22:22.041614,28.801893,-81.519179,0.05,Tampa,FL,Urban Road,30.9,33.0,10.2,10.3,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-80,2,2019-01-06 19:11:00,2019-01-06 19:24:57.948439,37.618501,-120.064863,0.23,Los Angeles,CA,Urban Road,49.5,52.0,6.1,10.6,0.0,Cloudy,False,False,True,False,False,False,False,False,False,Night
A-81,4,2017-09-13 18:21:00,2017-09-13 18:35:48.994457,36.606315,-119.156001,1.27,San Diego,CA,Rural Road,74.9,58.0,10.6,4.7,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,True,Day
A-82,3,2019-11-25 03:58:00,2019-11-25 04:22:54.992206,33.503165,-79.746514,0.44,Raleigh,NC,Highway,86.4,51.0,8.5,15.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,Night
A-83,3,2022-01-08 18:39:00,2022-01-08 19:20:03.868993,47.471934,-122.545139,0.21,Tacoma,WA,Interstate,56.4,43.0,3.1,9.0,0.0,Snow,False,False,False,False,False,False,False,False,False,Day
A-84,4,2017-10-25 13:32:00,2017-10-25 14:59:06.462982,40.696837,-82.622743,0.03,Cleveland,OH,Interstate,39.1,78.0,6.7,6.7,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-85,4,2019-08-07 12:40:00,2019-08-07 14:16:13.479747,36.586775,-120.020681,0.07,Sacramento,CA,Rural Road,62.3,61.0,8.0,13.2,0.0,Light Rain,False,False,False,False,True,False,False,False,False,Day
A-86,2,2017-01-09 18:16:00,2017-01-09 19:25:57.936870,25.22492,-80.536457,0.16,Miami,FL,Urban Road,111.7,74.0,9.9,9.4,0.02,Rain,False,False,False,False,False,False,True,False,False,Day
A-87,3,2021-01-14 04:23:00,2021-01-14 05:19:27.824786,36.121566,-119.902608,0.01,San Diego,CA,Highway,30.1,46.0,9.3,4.4,0.0,Light Rain,False,True,True,False,False,False,False,False,False,Night
A-88,2,2019-11-16 19:27:00,2019-11-16 20:53:01.762291,37.60996,-118.772473,0.17,Los Angeles,CA,Urban Road,74.2,69.0,12.0,4.6,0.05,Heavy Rain,False,False,False,True,False,False,False,False,True,Night
A-89,3,2022-10-03 15:54:00,2022-10-03 16:42:32.043620,33.869202,-110.870416,0.25,Tucson,AZ,Urban Road,51.6,65.0,7.4,11.1,0.0,Fair,False,False,True,False,True,False,False,True,False,Day
A-90,3,2022-07-05 17:18:00,2022-07-05 18:01:51.177436,27.593337,-80.364839,0.19,Jacksonville,FL,Interstate,55.6,79.0,6.2,11.8,0.0,Light Rain,False,False,False,False,False,False,False,False,False,Day
A-91,2,2020-03-04 16:11:00,2020-03-04 16:25:49.532122,33.418971,-81.872323,0.05,Augusta,GA,Interstate,81.5,66.0,7.5,3.4,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-92,2,2023-01-01 00:41:00,2023-01-01 01:21:08.194053,36.087428,-118.190679,0.01,San Jose,CA,Urban Road,35.2,80.0,9.6,8.4,0.0,Light Rain,False,False,False,True,False,False,False,False,False,Night
A-93,2,2017-03-29 17:58:00,2017-03-29 19:08:06.765478,40.471733,-76.651614,0.51,Buffalo,NY,Urban Road,73.8,52.0,9.1,7.3,0.0,Fair,False,False,True,False,False,False,False,False,False,Day
A-94,2,2021-04-01 18:18:00,2021-04-01 18:38:20.545126,36.342656,-117.853353,0.73,Los Angeles,CA,Urban Road,90.2,61.0,8.2,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,Day
A-95,2,2021-06-27 20:19:00,2021-06-27 20:39:05.421726,46.120762,-122.02122,1.0,Tacoma,WA,Highway,74.5,73.0,11.6,3.1,0.0,Cloudy,False,False,True,False,False,False,False,False,False,Night
A-96,2,2021-08-02 16:44:00,2021-08-02 17:56:41.502676,35.274755,-119.22158,0.19,Sacramento,CA,Interstate,42.7,63.0,9.5,2.0,0.19,Heavy Rain,False,False,False,False,False,False,False,False,False,Day
A-97,3,2016-09-29 18:50:00,2016-09-29 20:32:18.038248,36.200012,-78.915702,0.39,Durham,NC,Interstate,55.0,48.0,8.8,12.4,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-98,2,2022-03-10 21:47:00,2022-03-10 23:24:12.965907,36.328498,-120.254086,0.15,San Diego,CA,Urban Road,62.1,82.0,9.8,14.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,True,Night
A-99,2,2019-09-16 11:34:00,2019-09-16 11:55:58.832443,39.883999,-88.641927,0.02,Rockford,IL,Urban Road,51.8,70.0,10.4,0.6,0.0,Fair,False,False,False,False,False,False,False,False,True,Day
A-100,4,2017-05-21 17:55:00,2017-05-21 18:50:39.136588,37.048251,-118.999648,0.6,Los Angeles,CA,Highway,67.5,56.0,8.4,6.5,0.0,Fair,False,False,True,True,False,False,False,False,False,Day
A-101,3,2017-11-21 17:02:00,2017-11-21 17:24:50.181141,35.427373,-81.045189,0.03,Raleigh,NC,Interstate,41.8,10.0,7.2,5.4,0.0,Light Rain,False,False,False,False,False,False,False,False,True,Day
A-102,2,2016-12-17 19:08:00,2016-12-17 19:35:25.363402,34.845778,-110.203536,1.08,Mesa,AZ,Urban Road,53.8,42.0,9.3,4.7,0.0,Cloudy,False,False,True,True,False,False,False,False,False,Night
A-103,2,2018-06-28 11:17:00,2018-06-28 12:57:31.100056,28.7196,-83.145402,0.01,Tampa,FL,Interstate,74.8,44.0,11.2,10.7,0.0,Light Rain,False,False,False,False,False,False,False,False,True,Day
A-104,2,2018-01-30 15:52:00,2018-01-30 16:19:49.129267,41.154101,-77.787562,0.25,Philadelphia,PA,Urban Road,51.5,89.0,7.9,13.9,0.0,Cloudy,False,False,False,True,False,False,False,False,False,Day
A-105,2,2021-11-18 10:56:00,2021-11-18 11:53:14.256231,38.239794,-118.974068,0.14,San Diego,CA,Urban Road,83.1,100.0,11.9,11.9,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-106,4,2019-03-24 06:11:00,2019-03-24 06:57:27.711216,29.626005,-96.939928,0.49,San Antonio,TX,Rural Road,82.7,75.0,8.6,6.8,0.03,Rain,False,False,False,True,False,False,False,False,False,Day
A-107,2,2021-02-05 20:29:00,2021-02-05 20:41:55.393897,35.035797,-112.322257,0.17,Tucson,AZ,Urban Road,68.4,56.0,12.4,5.0,0.0,Cloudy,False,False,False,False,False,False,True,False,True,Night
A-108,4,2020-09-03 19:12:00,2020-09-03 20:15:35.391545,40.065089,-91.129684,0.04,Springfield,IL,Rural Road,76.6,50.0,5.2,13.2,0.03,Heavy Rain,False,False,False,False,False,False,False,True,False,Night
A-109,2,2016-11-05 20:34:00,2016-11-05 21:01:23.545208,30.886934,-100.389466,0.09,San Antonio,TX,Highway,51.4,50.0,9.1,13.4,0.0,Fair,False,False,False,False,False,False,False,False,False,Night
A-110,2,2019-05-23 15:25:00,2019-05-23 17:11:56.279353,31.596326,-83.22517,0.3,Augusta,GA,Urban Road,74.7,29.0,10.6,12.3,0.0,Fog,False,False,False,False,False,False,False,False,False,Day
A-111,3,2017-02-07 22:20:00,2017-02-07 22:42:56.658385,34.377748,-78.657533,0.03,Durham,NC,Highway,90.9,55.0,9.2,5.7,0.0,Mostly Cloudy,True,False,False,False,False,False,False,True,True,Night
A-112,3,2021-10-15 17:17:00,2021-10-15 17:48:24.647957,33.188306,-83.243379,0.05,Augusta,GA,Rural Road,81.9,43.0,6.0,0.8,0.01,Rain,False,False,True,False,False,False,True,False,False,Day
A-113,3,2019-08-06 17:26:00,2019-08-06 17:58:34.180660,37.420126,-120.715787,0.37,Los Angeles,CA,Highway,33.4,32.0,7.1,14.3,0.0,Fair,False,False,True,True,False,False,False,False,False,Day
A-114,2,2019-11-04 09:09:00,2019-11-04 09:40:36.752382,35.938905,-79.290813,0.18,Charlotte,NC,Highway,73.4,47.0,6.5,7.9,0.0,Rain,False,False,False,False,False,False,False,False,False,Day
A-115,4,2021-01-19 13:56:00,2021-01-19 14:43:17.033043,38.119086,-77.531697,0.18,Richmond,VA,Urban Road,67.0,41.0,7.5,11.5,0.01,Thunderstorm,False,False,False,False,False,False,False,False,False,Day
A-116,3,2019-07-19 22:21:00,2019-07-20 00:16:37.508024,32.22853,-99.193165,1.26,San Antonio,TX,Urban Road,63.3,64.0,9.9,0.3,0.0,Cloudy,False,False,True,False,False,False,False,True,False,Night
A-117,3,2019-11-18 21:56:00,2019-11-18 22:13:38.155956,47.513446,-119.624403,0.31,Seattle,WA,Interstate,77.7,51.0,9.9,15.4,0.0,Fair,False,False,False,False,False,False,False,False,False,Night
A-118,2,2020-09-06 16:31:00,2020-09-06 17:51:48.668179,33.111154,-80.146049,0.72,Durham,NC,Highway,63.0,64.0,8.7,5.1,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-119,2,2019-06-21 18:06:00,2019-06-21 20:07:00.015783,40.074986,-76.999955,0.06,Philadelphia,PA,Highway,69.4,64.0,6.5,16.9,0.0,Snow,False,False,False,True,False,False,False,False,False,Day
A-120,2,2022-11-11 08:09:00,2022-11-11 08:56:47.064939,35.508461,-119.942231,0.27,San Jose,CA,Interstate,76.2,31.0,7.6,0.0,0.0,Light Rain,False,False,False,True,False,False,False,False,False,Day
A-121,2,2018-11-30 15:31:00,2018-11-30 17:16:27.307818,36.48658,-116.243781,1.22,San Diego,CA,Interstate,61.8,62.0,9.6,8.6,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-122,2,2020-07-23 06:42:00,2020-07-23 07:47:09.351535,29.189519,-82.182207,0.38,Jacksonville,FL,Urban Road,84.0,72.0,7.9,10.1,0.07,Rain,False,False,False,False,False,False,False,False,True,Day
A-123,3,2021-11-13 08:25:00,2021-11-13 09:47:45.685624,41.061932,-83.395827,0.24,Cincinnati,OH,Urban Road,44.2,39.0,9.6,0.0,0.0,Fair,False,False,True,False,False,False,False,False,True,Day
